nb,Parasite,Host,site,PSR,Type,,,,,,
8350,Dientamoeba fragilis,Cercopithecus mitis,Kibale,,Protozoa,1,0,0,1,0,0
8029,Plasmodium sp.,Cercopithecus mitis,Kibale,0,Protozoa,0,0,0,0,1,0
1955,Iodamoeba butschlii,Cercopithecus mitis,Kanyawara,,Protozoa,1,0,0,1,0,0
2943,Enterobius vermicularis,Cercopithecus mitis,KENYA,0.073,Helminth,1,0,0,1,0,0
3000,Taenia saginata,Cercopithecus mitis,KENYA,0,Helminth,0,0,0,0,0,1
2945,Strongyloides fuelleborni,Cercopithecus mitis,KENYA,0.618,Helminth,0,0,0,1,0,0
3607,Strongyloides fuelleborni,Cercopithecus mitis,Kibale,0.06,Helminth,0,0,0,1,0,0
2947,Trichuris trichiura,Cercopithecus mitis,KENYA,0.6,Helminth,0,0,0,1,0,0
8191,Trichuris trichiura,Cercopithecus mitis,Kibale,0.273,Helminth,0,0,0,1,0,0
10628,Trichuris trichiura,Cercopithecus mitis,Kibale,0.273,Helminth,0,0,0,1,0,0
3631,Capillaria sp.,Cercopithecus mitis,Kibale,0,Helminth,0,0,0,1,0,1
8353,Iodamoeba butschlii,Cercopithecus mitis,Kibale,,Protozoa,1,0,0,1,0,0
3647,Gongylonema sp.,Cercopithecus mitis,Kibale,0,Helminth,0,0,0,0,0,1
1037,Alphavirus Semliki forest virus,Cercopithecus mitis,Semliki,0.2,Virus,0,0,0,0,1,0
962,Schistosoma haematobium,Cercopithecus mitis,AFRICA,0.06,Helminth,0,0,0,0,0,1
1886,Schistosoma haematobium,Cercopithecus mitis,Lake Naivasha,0.08,Helminth,0,0,0,0,0,1
1954,Entamoeba histolytica,Cercopithecus mitis,Kanyawara,,Protozoa,1,0,0,1,0,0
2951,Entamoeba histolytica,Cercopithecus mitis,KENYA,0.236,Protozoa,1,0,0,1,0,0
8171,Flavivirus Yellow Fever,Cercopithecus mitis,Bwamba,0,Virus,0,0,0,0,1,0
8172,Flavivirus Yellow Fever,Cercopithecus mitis,Bwamba,0.667,Virus,0,0,0,0,1,0
8173,Flavivirus Yellow Fever,Cercopithecus mitis,Bwamba,0,Virus,0,0,0,0,1,0
8174,Flavivirus Yellow Fever,Cercopithecus mitis,Bwamba,1,Virus,0,0,0,0,1,0
8294,Flavivirus Yellow Fever,Cercopithecus mitis,Bwamba,0.429,Virus,0,0,0,0,1,0
2930,Oesophagostomum sp.,Cercopithecus mitis,KENYA,0.472,Helminth,0,0,0,1,0,0
3615,Oesophagostomum sp.,Cercopithecus mitis,Kibale,0.09,Helminth,0,0,0,1,0,0
1953,Entamoeba hartmanni,Cercopithecus mitis,Kanyawara,,Protozoa,1,0,0,1,0,0
8354,Entamoeba hartmanni,Cercopithecus mitis,Kibale,,Protozoa,1,0,0,1,0,0
2949,Balantidium coli,Cercopithecus mitis,KENYA,0.436,Protozoa,1,0,0,1,0,0
1956,Trichomonas intestinalis,Cercopithecus mitis,Kanyawara,,Protozoa,1,0,0,0,0,0
8360,Trichomonas intestinalis,Cercopithecus mitis,Kibale,0,Protozoa,1,0,0,0,0,0
3643,Physaloptera caucasica,Cercopithecus mitis,Kibale,0,Helminth,0,0,0,0,0,1
3611,Strongyloides sp.,Cercopithecus mitis,Kibale,0,Helminth,0,0,0,1,0,0
1951,Retortamonas intestinalis,Cercopithecus mitis,Kanyawara,,Protozoa,1,0,0,1,0,0
4622,Trypanosoma sp.,Cercopithecus mitis,Congo,,Protozoa,0,0,0,0,1,0
10598,Entamoeba sp.,Cercopithecus mitis,Kanyawara,,Protozoa,0,0,0,0,0,0
7868,Hepatocystis sp.,Cercopithecus mitis,Kibale,0,Protozoa,0,0,0,0,1,0
10730,Hepatocystis sp.,Cercopithecus mitis,Kibale,0,Protozoa,0,0,0,0,1,0
2665,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus mitis,DEMOCRATIC REPUBLIC OF CONGO,,Virus,1,1,1,0,0,0
961,Schistosoma mansoni,Cercopithecus mitis,AFRICA,0,Helminth,0,0,0,0,0,1
2948,Schistosoma mansoni,Cercopithecus mitis,KENYA,0,Helminth,0,0,0,0,0,1
2999,Mesocestoides sp.,Cercopithecus mitis,KENYA,0.07,Helminth,0,0,0,0,0,1
3655,Bertiella sp.,Cercopithecus mitis,Kibale,0,Helminth,0,0,0,0,0,1
3627,Trichuris sp.,Cercopithecus mitis,Kibale,0.26,Helminth,0,0,0,1,0,0
2944,Streptopharagus sp.,Cercopithecus mitis,KENYA,0.527,Helminth,0,0,0,0,0,1
3635,Streptopharagus sp.,Cercopithecus mitis,Kibale,0.14,Helminth,0,0,0,0,0,1
3651,Enterobius sp.,Cercopithecus mitis,Kibale,0,Helminth,1,0,0,1,0,0
8214,Oesophagostomum sp.,Cercopithecus mitis,Kibale,0.727,Helminth,0,0,0,1,0,0
10620,Oesophagostomum sp.,Cercopithecus mitis,Kibale,0.303,Helminth,0,0,0,1,0,0
1887,Lentivirus Simian immunodeficiency virus,Cercopithecus mitis,KENYA,,Virus,1,1,1,0,0,0
3639,Physaloptera sp.,Cercopithecus mitis,Kibale,0,Helminth,0,0,0,0,0,1
8359,Entamoeba sp.,Cercopithecus mitis,Kibale,0,Protozoa,0,0,0,0,0,0
8356,Blastocystis sp.,Cercopithecus mitis,Kibale,,Protozoa,0,0,0,0,0,0
2245,Flavivirus Yellow Fever,Cercopithecus mona,AFRICA,,Virus,0,0,0,0,1,0
1846,Loa loa,Cercopithecus mona,Kumba,0.11,Helminth,0,0,0,0,1,0
763,Lentivirus Simian immunodeficiency virus,Cercopithecus mona,CAMEROON,0.5,Virus,1,1,1,0,0,0
420,Hepatocystis bovillezi,Cercopithecus mona,AFRICA,,Protozoa,0,0,0,0,1,0
1893,Orbivirus Orungo virus,Cercopithecus mona,NIGERIA,,Virus,0,0,0,0,1,0
1894,Orbivirus Orungo virus,Cercopithecus mona,NIGERIA,,Virus,0,0,0,0,1,0
2246,Orbivirus Orungo virus,Cercopithecus mona,NIGERIA,0.24,Virus,0,0,0,0,1,0
7806,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus mona,CAMEROON,0,Virus,1,1,1,0,0,0
10247,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus mona,CAMEROON,0,Virus,1,1,1,0,0,0
2012,Oesophagostomum bifurcum,Cercopithecus mona,Fiema,,Helminth,0,0,0,1,0,0
3551,Oesophagostomum bifurcum,Cercopithecus mona,Baobeng Fiema,,Helminth,0,0,0,1,0,0
3687,Oesophagostomum bifurcum,Cercopithecus mona,GHANA,,Helminth,0,0,0,1,0,0
6022,Oesophagostomum bifurcum,Cercopithecus mona,Baobeng Fiema,0.75,Helminth,0,0,0,1,0,0
3948,Ternidens deminutus,Cercopithecus mona,Ghana,,Helminth,0,0,0,0,0,0
7805,Deltaretrovirus Primate T-lymphotropic virus 2,Cercopithecus mona,CAMEROON,0,Virus,1,1,1,0,0,0
10248,Deltaretrovirus Primate T-lymphotropic virus 3,Cercopithecus mona,CAMEROON,0.025,Virus,1,1,1,0,0,
764,Lentivirus Simian immunodeficiency virus,Cercopithecus neglectus,CAMEROON,0.38,Virus,1,1,1,0,0,0
7807,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus neglectus,CAMEROON,0,Virus,1,1,1,0,0,0
10217,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus neglectus,GABON,0,Virus,1,1,1,0,0,0
424,Hepatocystis cercopitheci,Cercopithecus neglectus,UGANDA,,Protozoa,0,0,0,0,1,0
10249,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus neglectus,CAMEROON,0,Virus,1,1,1,0,0,0
3096,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus neglectus,CENTRAL AFRICAN REPUBLIC,0,Virus,1,1,1,0,0,0
5987,Deltaretrovirus sp.,Cercopithecus neglectus,CAMEROON,0,Virus,1,1,1,0,0,0
7808,Deltaretrovirus Primate T-lymphotropic virus 2,Cercopithecus neglectus,CAMEROON,0,Virus,1,1,1,0,0,0
10218,Deltaretrovirus Primate T-lymphotropic virus 2,Cercopithecus neglectus,GABON,0,Virus,1,1,1,0,0,0
8485,Deltaretrovirus Primate T-lymphotropic virus 3,Cercopithecus neglectus,DEMOCRATIC REPUBLIC OF CONGO,0,Virus,1,1,1,0,0,
8478,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus neglectus,DEMOCRATIC REPUBLIC OF CONGO,0.1,Virus,1,1,1,0,0,0
10250,Deltaretrovirus Primate T-lymphotropic virus 3,Cercopithecus neglectus,CAMEROON,0,Virus,1,1,1,0,0,
3265,Dirofilaria corynodes,Cercopithecus nictitans,CAMEROON,,Helminth,0,0,0,0,1,0
1847,Loa loa,Cercopithecus nictitans,Kumba,0.244,Helminth,0,0,0,0,1,0
8062,Lentivirus Simian immunodeficiency virus,Cercopithecus nictitans,Tai National Park,0,Virus,1,1,1,0,0,0
765,Lentivirus Simian immunodeficiency virus,Cercopithecus nictitans,CAMEROON,0.2,Virus,1,1,1,0,0,0
2505,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus nictitans,GABON,0,Virus,1,1,1,0,0,0
1906,Flavivirus Yellow Fever,Cercopithecus nictitans,AFRICA,,Virus,0,0,0,0,1,0
7810,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus nictitans,CAMEROON,0.025,Virus,1,1,1,0,0,0
10219,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus nictitans,GABON,0.143,Virus,1,1,1,0,0,0
8178,Flavivirus Yellow Fever,Cercopithecus nictitans,Bwamba,0.25,Virus,0,0,0,0,1,0
8179,Flavivirus Yellow Fever,Cercopithecus nictitans,Bwamba,0.75,Virus,0,0,0,0,1,0
8180,Flavivirus Yellow Fever,Cercopithecus nictitans,Bwamba,0.4,Virus,0,0,0,0,1,0
8181,Flavivirus Yellow Fever,Cercopithecus nictitans,Bwamba,0.875,Virus,0,0,0,0,1,0
8296,Flavivirus Yellow Fever,Cercopithecus nictitans,Bwamba,0.612,Virus,0,0,0,0,1,0
7458,Staphylococcus aureus,Cercopithecus nictitans,GABON,0.5,Bacteria,1,0,1,1,0,0
1994,Hepatocystis cercopitheci,Cercopithecus nictitans,LIBERIA,,Protozoa,0,0,0,0,1,0
10231,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus nictitans,GABON,0.667,Virus,1,1,1,0,0,0
10251,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus nictitans,CAMEROON,0.041,Virus,1,1,1,0,0,0
10498,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus nictitans,CAMEROON,,Virus,1,1,1,0,0,0
5989,Deltaretrovirus sp.,Cercopithecus nictitans,CAMEROON,0.078,Virus,1,1,1,0,0,0
7809,Deltaretrovirus Primate T-lymphotropic virus 2,Cercopithecus nictitans,CAMEROON,0.025,Virus,1,1,1,0,0,0
10220,Deltaretrovirus Primate T-lymphotropic virus 2,Cercopithecus nictitans,GABON,0,Virus,1,1,1,0,0,0
10232,Deltaretrovirus Primate T-lymphotropic virus 3,Cercopithecus nictitans,GABON,0,Virus,1,1,1,0,0,
10253,Deltaretrovirus Primate T-lymphotropic virus 3,Cercopithecus nictitans,CAMEROON,0.02,Virus,1,1,1,0,0,
10499,Deltaretrovirus Primate T-lymphotropic virus 3,Cercopithecus nictitans,CAMEROON,,Virus,1,1,1,0,0,
9174,Endolimax nana,Cercopithecus petaurista,Tai National Park,0.363,Protozoa,1,0,0,1,0,0
9169,Trichostrongylus sp.,Cercopithecus petaurista,Tai National Park,0,Helminth,0,0,0,1,0,0
9170,Dicrocoelium sp.,Cercopithecus petaurista,Tai National Park,0,Helminth,0,0,0,0,0,1
496,Necator americanus,Cercopithecus petaurista,Tiwai,0,Helminth,0,0,0,1,0,0
9171,Entamoeba coli,Cercopithecus petaurista,Tai National Park,0.796,Protozoa,1,0,0,1,0,0
9177,Chilomastix mesnili,Cercopithecus petaurista,Tai National Park,0.312,Protozoa,1,0,0,1,0,0
8061,Lentivirus Simian immunodeficiency virus,Cercopithecus petaurista,Tai National Park,0,Virus,1,1,1,0,0,0
9172,Entamoeba sp.,Cercopithecus petaurista,Tai National Park,0.44,Protozoa,0,0,0,0,0,0
9167,Ternidens sp.,Cercopithecus petaurista,Tai National Park,0.026,Helminth,0,0,0,0,0,0
9166,Strongyloides stercoralis,Cercopithecus petaurista,Tai National Park,0.045,Helminth,0,0,0,1,0,0
9175,Iodamoeba butschlii,Cercopithecus petaurista,Tai National Park,0.484,Protozoa,1,0,0,1,0,0
2247,Orthopoxvirus monkeypox,Cercopithecus petaurista,AFRICA,,Virus,1,0,0,0,0,0
9178,Giardia sp.,Cercopithecus petaurista,Tai National Park,0.191,Protozoa,0,0,0,1,0,0
500,Ascaris lumbricoides,Cercopithecus petaurista,Tiwai,0,Helminth,0,0,0,1,0,0
497,Trichuris trichiura,Cercopithecus petaurista,Tiwai,0,Helminth,0,0,0,1,0,0
499,Oesophagostomum sp.,Cercopithecus petaurista,Tiwai,0,Helminth,0,0,0,1,0,0
9163,Oesophagostomum sp.,Cercopithecus petaurista,Tai National Park,0.306,Helminth,0,0,0,1,0,0
9173,Entamoeba hartmanni,Cercopithecus petaurista,Tai National Park,0.459,Protozoa,1,0,0,1,0,0
9176,Balantidium coli,Cercopithecus petaurista,Tai National Park,0.064,Protozoa,1,0,0,1,0,0
498,Strongyloides sp.,Cercopithecus petaurista,Tiwai,0,Helminth,0,0,0,1,0,0
9165,Strongyloides sp.,Cercopithecus petaurista,Tai National Park,0.21,Helminth,0,0,0,1,0,0
433,Hepatocystis cercopitheci,Cercopithecus petaurista,NIGERIA,,Protozoa,0,0,0,0,1,0
434,Hepatocystis cercopitheci,Cercopithecus petaurista,GHANA,,Protozoa,0,0,0,0,1,0
8633,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus petaurista,Tai National Park,0,Virus,1,1,1,0,0,0
9161,Ancylostoma sp.,Cercopithecus petaurista,Tai National Park,0.376,Helminth,0,0,0,1,0,0
9168,Trichuris sp.,Cercopithecus petaurista,Tai National Park,0.185,Helminth,0,0,0,1,0,0
9179,Blastocystis sp.,Cercopithecus petaurista,Tai National Park,0.095,Protozoa,0,0,0,0,0,0
9162,Chitwoodspirura sp.,Cercopithecus petaurista,Tai National Park,0.013,Helminth,0,0,0,0,0,1
9160,Anatrichosoma sp.,Cercopithecus petaurista,Tai National Park,0.032,Helminth,0,0,0,1,0,0
9164,Subulura sp.,Cercopithecus petaurista,Tai National Park,0,Helminth,0,0,0,0,0,1
766,Lentivirus Simian immunodeficiency virus,Cercopithecus pogonias,CAMEROON,0.19,Virus,1,1,1,0,0,0
7811,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus pogonias,CAMEROON,0.057,Virus,1,1,1,0,0,0
10221,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus pogonias,GABON,0,Virus,1,1,1,0,0,0
10233,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus pogonias,GABON,0.2,Virus,1,1,1,0,0,0
10254,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus pogonias,CAMEROON,0,Virus,1,1,1,0,0,0
10502,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus pogonias,CAMEROON,,Virus,1,1,1,0,0,0
3095,Deltaretrovirus Primate T-lymphotropic virus 1,Cercopithecus pogonias,CENTRAL AFRICAN REPUBLIC,0.06,Virus,1,1,1,0,0,0
5986,Deltaretrovirus sp.,Cercopithecus pogonias,CAMEROON,0.129,Virus,1,1,1,0,0,0
7812,Deltaretrovirus Primate T-lymphotropic virus 2,Cercopithecus pogonias,CAMEROON,0,Virus,1,1,1,0,0,0
10222,Deltaretrovirus Primate T-lymphotropic virus 2,Cercopithecus pogonias,GABON,0,Virus,1,1,1,0,0,0
10234,Deltaretrovirus Primate T-lymphotropic virus 3,Cercopithecus pogonias,GABON,0,Virus,1,1,1,0,0,
10255,Deltaretrovirus Primate T-lymphotropic virus 3,Cercopithecus pogonias,CAMEROON,0,Virus,1,1,1,0,0,
10503,Deltaretrovirus Primate T-lymphotropic virus 3,Cercopithecus pogonias,CAMEROON,,Virus,1,1,1,0,0,
2123,Trypanoxyuris satanas,Chiropotes satanas,VENEZUELA,,Helminth,1,0,0,1,0,0
855,Leishmania shawi,Chiropotes satanas,Serra dos Carajas,,Protozoa,0,0,0,0,1,0
2142,Trypanoxyuris satanas,Chiropotes satanas,VENEZUELA,,Helminth,1,0,0,1,0,0
2210,Trypanosoma lambrechti,Chiropotes satanas,BRAZIL,,Protozoa,0,0,0,0,1,0
4624,Trypanosoma lambrechti,Chiropotes satanas,BRAZIL,,Protozoa,0,0,0,0,1,0
278,Plasmodium simium,Chiropotes satanas,Pará,0,Protozoa,0,0,0,0,1,0
280,Plasmodium simium,Chiropotes satanas,Maranhao,0,Protozoa,0,0,0,0,1,0
2258,Leishmania sp.,Chiropotes satanas,Pará,,Protozoa,0,0,0,0,0,0
275,Plasmodium brasilianum,Chiropotes satanas,Pará,0,Protozoa,0,0,0,0,1,0
279,Plasmodium brasilianum,Chiropotes satanas,Maranhao,0,Protozoa,0,0,0,0,1,0
2279,Plasmodium brasilianum,Chiropotes satanas,SOUTH AMERICA,0.11,Protozoa,0,0,0,0,1,0
4625,Trypanosoma mycetae,Chiropotes satanas,BRAZIL,,Protozoa,0,0,0,0,1,0
2054,Bertiella studeri,Chlorocebus aethiops,ETHIOPIA,,Helminth,0,0,0,0,0,1
2240,Alphavirus Chikungunya virus,Chlorocebus aethiops,AFRICA,,Virus,0,0,0,0,1,0
1824,Hepatovirus Hepatitis A,Chlorocebus aethiops,SENEGAL,0.37,Virus,1,0,0,1,0,0
3051,Schistosoma mattheei,Chlorocebus aethiops,Kruger,0.061,Helminth,0,0,0,0,0,1
4570,Schistosoma mattheei,Chlorocebus aethiops,Kruger,0.039,Helminth,0,0,0,0,0,1
3506,Trichostrongylus sp.,Chlorocebus aethiops,Sodore,0,Helminth,0,0,0,1,0,0
3507,Trichostrongylus sp.,Chlorocebus aethiops,Wondo Genet,0,Helminth,0,0,0,1,0,0
3621,Trichostrongylus sp.,Chlorocebus aethiops,Lake Saka,0,Helminth,0,0,0,1,0,0
9639,Fasciola sp.,Chlorocebus aethiops,Lake Nabugabo,0.38,Helminth,0,0,0,0,0,1
1393,Treponema pallidum,Chlorocebus aethiops,Niamey,0,Bacteria,1,1,0,0,0,0
2238,Flavivirus Yellow Fever,Chlorocebus aethiops,AFRICA,,Virus,0,0,0,0,1,0
3518,Entamoeba coli,Chlorocebus aethiops,Sodore,0.36,Protozoa,1,0,0,1,0,0
3519,Entamoeba coli,Chlorocebus aethiops,Wondo Genet,1,Protozoa,1,0,0,1,0,0
3625,Necator sp.,Chlorocebus aethiops,Lake Saka,0,Helminth,0,0,0,1,0,0
1879,Cyclospora cercopitheci,Chlorocebus aethiops,Wollega,0.06,Protozoa,1,0,0,1,0,0
10571,Cyclospora cercopitheci,Chlorocebus aethiops,Wollega,,Protozoa,1,0,0,1,0,0
1986,Hepatocystis kochi,Chlorocebus aethiops,SENEGAL,,Protozoa,0,0,0,0,1,0
815,Enterobius bipapillatus,Chlorocebus aethiops,DEMOCRATIC REPUBLIC OF CONGO,,Helminth,1,0,0,1,0,0
2140,Enterobius bipapillatus,Chlorocebus aethiops,SOUTH AFRICA,,Helminth,1,0,0,1,0,0
7925,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Kedougou,0.392,Virus,1,1,1,0,0,0
7926,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,SENEGAL,0.32,Virus,1,1,1,0,0,0
7927,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,SENEGAL,0.485,Virus,1,1,1,0,0,0
7928,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,SENEGAL,0.565,Virus,1,1,1,0,0,0
7929,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,SENEGAL,0.177,Virus,1,1,1,0,0,0
3522,Entamoeba sp.,Chlorocebus aethiops,Sodore,0.32,Protozoa,0,0,0,0,0,0
3523,Entamoeba sp.,Chlorocebus aethiops,Wondo Genet,0.125,Protozoa,0,0,0,0,0,0
2203,Babesia pitheci,Chlorocebus aethiops,SOUTH AFRICA,,Protozoa,0,0,0,0,1,0
2920,Leptospira sp.,Chlorocebus aethiops,Tororo,0,Bacteria,0,0,0,0,0,0
2551,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.44,Virus,1,1,1,0,0,0
2552,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.59,Virus,1,1,1,0,0,0
3043,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.56,Virus,1,1,1,0,0,0
5416,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.34,Virus,1,1,1,0,0,0
5417,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.75,Virus,1,1,1,0,0,0
5420,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.45,Virus,1,1,1,0,0,0
5452,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.53,Virus,1,1,1,0,0,0
5453,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.97,Virus,1,1,1,0,0,0
5456,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.68,Virus,1,1,1,0,0,0
5499,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.72,Virus,1,1,1,0,0,0
5500,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.85,Virus,1,1,1,0,0,0
5504,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.8,Virus,1,1,1,0,0,0
5561,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.14,Virus,1,1,1,0,0,0
5562,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.17,Virus,1,1,1,0,0,0
5564,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,Awash,0.19,Virus,1,1,1,0,0,0
2933,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,SENEGAL,0.4,Virus,1,1,1,0,0,0
2934,Lentivirus Simian immunodeficiency virus,Chlorocebus aethiops,CENTRAL AFRICAN REPUBLIC,0.37,Virus,1,1,1,0,0,0
2501,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,CAMEROON,0.531,Virus,1,1,1,0,0,0
2502,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,ETHIOPIA,0.304,Virus,1,1,1,0,0,0
3534,Cryptosporidium sp.,Chlorocebus aethiops,Sodore,0.12,Protozoa,1,,,1,,
3535,Cryptosporidium sp.,Chlorocebus aethiops,Wondo Genet,0.563,Protozoa,1,,,1,,
1735,Cercopithifilaria verveti,Chlorocebus aethiops,Thika,,Helminth,0,0,0,0,1,0
2996,Taenia saginata,Chlorocebus aethiops,KENYA,0,Helminth,0,0,0,0,0,1
3609,Strongyloides fuelleborni,Chlorocebus aethiops,Lake Saka,0.42,Helminth,0,0,0,1,0,0
779,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,ETHIOPIA,0,Virus,1,1,1,0,0,0
8,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Kampala,0.29,Virus,1,1,1,0,0,0
9,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Awash,0.03,Virus,1,1,1,0,0,0
10,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Kimana,0.44,Virus,1,1,1,0,0,0
11,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Naivasha,0.34,Virus,1,1,1,0,0,0
12,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Mosiro,0.51,Virus,1,1,1,0,0,0
1845,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Samburu,0.49,Virus,1,1,1,0,0,0
5391,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Awash,0.07,Virus,1,1,1,0,0,0
5392,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Kimana,0.39,Virus,1,1,1,0,0,0
5393,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Naivasha,0.23,Virus,1,1,1,0,0,0
5394,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Mosiro,0.4,Virus,1,1,1,0,0,0
5407,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Samburu,0.42,Virus,1,1,1,0,0,0
5427,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Awash,0,Virus,1,1,1,0,0,0
5428,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Kimana,0.52,Virus,1,1,1,0,0,0
5429,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Naivasha,0.44,Virus,1,1,1,0,0,0
5430,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Mosiro,0.69,Virus,1,1,1,0,0,0
5443,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Samburu,0.58,Virus,1,1,1,0,0,0
5463,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Awash,0.04,Virus,1,1,1,0,0,0
5464,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Kimana,0.72,Virus,1,1,1,0,0,0
5465,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Naivasha,0.56,Virus,1,1,1,0,0,0
5466,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Mosiro,0.88,Virus,1,1,1,0,0,0
5485,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Samburu,0.68,Virus,1,1,1,0,0,0
5526,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Awash,0.01,Virus,1,1,1,0,0,0
5527,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Kimana,0.22,Virus,1,1,1,0,0,0
5528,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Naivasha,0.16,Virus,1,1,1,0,0,0
5529,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Mosiro,0.33,Virus,1,1,1,0,0,0
5548,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,Samburu,0.21,Virus,1,1,1,0,0,0
3633,Capillaria sp.,Chlorocebus aethiops,Lake Saka,0,Helminth,0,0,0,1,0,1
9637,Ascaris sp.,Chlorocebus aethiops,Lake Nabugabo,0.33,Helminth,0,0,0,1,0,0
3649,Gongylonema sp.,Chlorocebus aethiops,Lake Saka,0,Helminth,0,0,0,0,0,1
3526,Blastocystis hominis,Chlorocebus aethiops,Sodore,0.56,Protozoa,1,0,0,1,0,0
3527,Blastocystis hominis,Chlorocebus aethiops,Wondo Genet,0,Protozoa,1,0,0,1,0,0
2239,Orbivirus Orungo virus,Chlorocebus aethiops,NIGERIA,0.24,Virus,0,0,0,0,1,0
1827,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,SENEGAL,0.4,Virus,1,1,1,0,0,0
5482,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,SENEGAL,0.54,Virus,1,1,1,0,0,0
5545,Deltaretrovirus Primate T-lymphotropic virus 1,Chlorocebus aethiops,SENEGAL,0.16,Virus,1,1,1,0,0,0
